stredisko;nazev;kod;typ
Moravská Třebová;Boršov;VF1101019;vodovod
Moravská Třebová;Borušov;VF1101004;vodovod
Moravská Třebová;Dětřichov u M.Třebové;VF1101013;vodovod
Moravská Třebová;Dlouhá Loučka;VF1101007;vodovod
Moravská Třebová;Janůvky;VF1101017;vodovod
Moravská Třebová;Koruna;VF1101025;vodovod
Moravská Třebová;Křenov;VF1101016;vodovod
Moravská Třebová;Kunčina;VF1101009;vodovod
Moravská Třebová;Linhartice;VF1101006;vodovod
Moravská Třebová;Malíkov;VF1101130;vodovod
Moravská Třebová;Mladějov;VF1101021;vodovod
Moravská Třebová;Mor. Třebová - zahr. Kolonie na Stráni;VF1101142;vodovod
Moravská Třebová;Moravská Třebová;VF1101001;vodovod
Moravská Třebová;Nová Ves;VF1101010;vodovod
Moravská Třebová;Přední Arnoštov;VF1101128;vodovod
Moravská Třebová;Radišov;VF1101012;vodovod
Moravská Třebová;Radkov;VF1101015;vodovod
Moravská Třebová;Rozstání;VF1101014;vodovod
Moravská Třebová;Rudná;VF1101018;vodovod
Moravská Třebová;Rychnov na Moravě;VF1101020;vodovod
Moravská Třebová;Staré Město;VF1101011;vodovod
Moravská Třebová;Sušice;VF1101002;vodovod
Moravská Třebová;Třebářov;VF1101024;vodovod
Moravská Třebová;Udánky;VF1101003;vodovod
Moravská Třebová;Útěchov;VF1101008;vodovod
Jevíčko;Bělá u Jevíčka;VF1105026;vodovod
Jevíčko;Bezděčí u Trnávky;VF1111045;vodovod
Jevíčko;Biskupice;VF1108031;vodovod
Jevíčko;Bohdalov;VF1111116;vodovod
Jevíčko;Borová;VF1111049;vodovod
Jevíčko;Březina;VF1102022;vodovod
Jevíčko;Březinky, Nectava;VF1106027;vodovod
Jevíčko;Hartinkov;VF1108028;vodovod
Jevíčko;Hraničky;VF1111047;vodovod
Jevíčko;Chornice;VF1111040;vodovod
Jevíčko;Jaroměřice;VF1108032;vodovod
Jevíčko;Jevíčko;VF1108029;vodovod
Jevíčko;Lázy;VF1111042;vodovod
Jevíčko;Ludvíkov;VF1111129;vodovod
Jevíčko;Mařín;VF1108035;vodovod
Jevíčko;Městečko Trnávka;VF1111038;vodovod
Jevíčko;Mezihoří;VF1111041;vodovod
Jevíčko;Nectava;VF1106118;vodovod
Jevíčko;Nový Dvůr;VF1108033;vodovod
Jevíčko;Pacov;VF1111039;vodovod
Jevíčko;Pěčíkov;VF1111048;vodovod
Jevíčko;Petrůvka;VF1111043;vodovod
Jevíčko;Plechtinec;VF1111050;vodovod
Jevíčko;Slatina;VF1103023;vodovod
Jevíčko;Smolná;VF1105117;vodovod
Jevíčko;Šnekov;VF1102022;vodovod
Jevíčko;Unerázka;VF1111044;vodovod
Jevíčko;Víska u Jevíčka;VF1108030;vodovod
Jevíčko;Vranová Lhota;VF1111046;vodovod
Jevíčko;Vrážné;VF1111036;vodovod
Jevíčko;Vysoká;VF1108037;vodovod
Jevíčko;Zadní Arnoštov;VF1108034;vodovod
Polička;Borová u Poličky (předaná);VF3125089;vodovod
Polička;Jedlová;VF3126091;vodovod
Polička;Kamenec;VF3125076;vodovod
Polička;Korouhev;VF3125083;vodovod
Polička;Květná;VF3125085;vodovod
Polička;Lezník;VF3125077;vodovod
Polička;Lubná;VF3125079;vodovod
Polička;Modřec;VF3125087;vodovod
Polička;N. Ves u Lit. (předaná);VF3125078;vodovod
Polička;Oldřiš;VF3125088;vodovod
Polička;Olešnice (voda předaná);VF3128121;vodovod
Polička;Pohodlí (předaná);VF3125086;vodovod
Polička;Polička;VF3125074;vodovod
Polička;Pomezí;VF3125075;vodovod
Polička;Pustá Kamenice;VF3127092;vodovod
Polička;Sádek;VF3125084;vodovod
Polička;Sebranice;VF3125080;vodovod
Polička;Střítež;VF3125081;vodovod
